MSEtrain,MSEvalid
0.0054122796,0.0051745786
0.0011896975,0.0011288718
0.0005060719,0.0004872962
0.00045551613,0.00043848352
0.00043106015,0.00041404302
0.00038728304,0.00037192166
0.0003081316,0.00029501098
0.00019936061,0.0001867669
0.000121644895,0.00011028313
9.104744e-5,8.1167316e-5
7.845611e-5,6.720653e-5
7.469535e-5,6.378e-5
7.306956e-5,6.2445506e-5
7.192872e-5,6.0775466e-5
7.1722876e-5,6.119152e-5
7.1746836e-5,6.038573e-5
7.3141746e-5,6.1525156e-5
7.118776e-5,5.975432e-5
7.0738446e-5,6.0121194e-5
7.091544e-5,6.0400853e-5
7.050449e-5,5.9365742e-5
7.132603e-5,5.907068e-5
7.0609356e-5,5.9483777e-5
7.075833e-5,6.0463637e-5
7.0677816e-5,5.900298e-5
7.0817754e-5,6.000606e-5
7.039171e-5,5.9534388e-5
6.988434e-5,5.942738e-5
7.077631e-5,6.01004e-5
7.259263e-5,6.2620085e-5
7.07715e-5,6.0341532e-5
7.283044e-5,6.1046434e-5
7.6776385e-5,6.696268e-5
7.000055e-5,5.9758102e-5
7.06558e-5,6.0567356e-5
7.0571776e-5,5.970921e-5
7.0502705e-5,5.828606e-5
7.1341776e-5,6.034011e-5
6.9596696e-5,5.8780082e-5
7.049447e-5,5.9446516e-5
7.192985e-5,6.0155475e-5
7.022352e-5,5.841119e-5
7.393006e-5,6.310577e-5
7.283933e-5,6.142398e-5
7.218226e-5,6.282279e-5
6.8762056e-5,5.8404556e-5
6.86739e-5,5.772178e-5
7.0968934e-5,5.947336e-5
7.161111e-5,5.932488e-5
7.237482e-5,6.167344e-5
6.853739e-5,5.8131525e-5
7.179139e-5,6.010979e-5
7.247504e-5,6.250188e-5
6.8054316e-5,5.7223147e-5
6.790707e-5,5.6559096e-5
6.723453e-5,5.6354133e-5
7.027183e-5,5.9756203e-5
6.92154e-5,5.837243e-5
6.9566806e-5,5.8894875e-5
7.1768605e-5,6.134835e-5
6.78496e-5,5.811795e-5
6.786152e-5,5.633871e-5
6.826135e-5,5.9005106e-5
6.7028916e-5,5.7631773e-5
8.596788e-5,7.441516e-5
6.648679e-5,5.7208865e-5
6.846657e-5,5.7412235e-5
6.6822635e-5,5.6432156e-5
6.582311e-5,5.5433706e-5
7.13884e-5,6.0132235e-5
6.5545704e-5,5.430948e-5
6.6208595e-5,5.6660585e-5
6.684071e-5,5.701736e-5
6.5796194e-5,5.5561803e-5
7.2906085e-5,6.292553e-5
6.9328446e-5,6.0302886e-5
6.62316e-5,5.4944096e-5
6.309765e-5,5.2614385e-5
7.413686e-5,6.68297e-5
6.3903266e-5,5.437149e-5
6.334583e-5,5.3784537e-5
6.281069e-5,5.3455955e-5
6.254136e-5,5.264682e-5
6.617348e-5,5.545186e-5
6.4590604e-5,5.4216223e-5
6.252321e-5,5.3137115e-5
6.1624865e-5,5.1575462e-5
6.358723e-5,5.3927626e-5
6.0198487e-5,5.108261e-5
5.9720387e-5,5.0159488e-5
6.302963e-5,5.3123447e-5
6.0024544e-5,5.120366e-5
5.9864684e-5,5.0709616e-5
6.371839e-5,5.452902e-5
6.0140243e-5,5.010655e-5
6.1176004e-5,5.201722e-5
7.747849e-5,6.846263e-5
6.172425e-5,5.060569e-5
5.883868e-5,4.8848837e-5
5.771331e-5,4.8536876e-5
6.29691e-5,5.215181e-5
5.9243084e-5,4.962361e-5
6.324927e-5,5.4026288e-5
6.274917e-5,5.3535194e-5
5.7731217e-5,4.8269838e-5
5.7669615e-5,4.8695663e-5
5.596589e-5,4.6576046e-5
5.5280736e-5,4.6370646e-5
6.9091504e-5,6.0906477e-5
5.8489666e-5,4.865534e-5
5.7518242e-5,4.8461432e-5
5.5864894e-5,4.653826e-5
5.449307e-5,4.5808276e-5
5.3676773e-5,4.4740777e-5
5.8313966e-5,5.0036335e-5
5.5284563e-5,4.6224242e-5
5.3990057e-5,4.5473116e-5
5.3291355e-5,4.4317192e-5
6.039292e-5,5.156013e-5
5.805531e-5,4.9239115e-5
5.52567e-5,4.5760316e-5
5.532649e-5,4.7178917e-5
5.344016e-5,4.4562552e-5
5.254683e-5,4.4315704e-5
5.5411467e-5,4.6414185e-5
5.9361635e-5,5.1277828e-5
5.1748666e-5,4.320136e-5
5.352791e-5,4.4609355e-5
5.125514e-5,4.250333e-5
5.463571e-5,4.5415054e-5
5.6981346e-5,4.8583603e-5
5.29173e-5,4.465296e-5
5.6340257e-5,4.7003665e-5
5.548327e-5,4.7710946e-5
5.847878e-5,4.9295e-5
5.279891e-5,4.4161112e-5
5.307301e-5,4.3962766e-5
5.577699e-5,4.6433015e-5
5.310809e-5,4.5240402e-5
5.269766e-5,4.4431952e-5
5.31299e-5,4.497523e-5
5.502032e-5,4.692799e-5
5.3653894e-5,4.4187043e-5
5.4212687e-5,4.4961642e-5
5.1813447e-5,4.332536e-5
5.131207e-5,4.2161602e-5
5.111303e-5,4.263117e-5
5.267135e-5,4.4220633e-5
6.564059e-5,5.6022076e-5
5.470989e-5,4.5692843e-5
5.201609e-5,4.3135267e-5
5.0883402e-5,4.2377047e-5
5.5188862e-5,4.6864916e-5
5.1993116e-5,4.3526565e-5
5.7641988e-5,4.8662085e-5
5.6088935e-5,4.7772344e-5
5.287178e-5,4.4160523e-5
5.4146298e-5,4.556629e-5
5.000908e-5,4.118202e-5
5.1199353e-5,4.217024e-5
4.994759e-5,4.105194e-5
5.1911436e-5,4.3198732e-5
5.6270863e-5,4.763933e-5
5.2092535e-5,4.333555e-5
5.438211e-5,4.5196004e-5
5.2658655e-5,4.428877e-5
5.2305677e-5,4.344464e-5
5.158892e-5,4.2964486e-5
5.0908875e-5,4.256131e-5
5.1285657e-5,4.2730357e-5
5.1416904e-5,4.280007e-5
5.974464e-5,5.0852672e-5
5.0656316e-5,4.214609e-5
5.1688014e-5,4.344664e-5
4.989428e-5,4.131758e-5
5.0004637e-5,4.140002e-5
5.5098713e-5,4.5886674e-5
5.685294e-5,4.7802343e-5
5.0616014e-5,4.17772e-5
5.136464e-5,4.2181822e-5
5.1168096e-5,4.200044e-5
5.5122084e-5,4.6542595e-5
5.1726674e-5,4.269152e-5
5.0966453e-5,4.218326e-5
5.0018985e-5,4.1292857e-5
5.0120347e-5,4.1735002e-5
5.3533113e-5,4.5265137e-5
5.3873584e-5,4.4700868e-5
5.509997e-5,4.570528e-5
5.186361e-5,4.2883603e-5
5.2350002e-5,4.3675867e-5
5.1192215e-5,4.263004e-5
5.7888792e-5,4.867429e-5
5.228421e-5,4.383931e-5
5.09274e-5,4.2010026e-5
5.024793e-5,4.1937645e-5
5.17937e-5,4.3300664e-5
5.222076e-5,4.3558546e-5
5.0715746e-5,4.238216e-5
5.1328137e-5,4.329003e-5
5.057971e-5,4.1586e-5
5.7157882e-5,4.8967395e-5
7.093837e-5,6.2329906e-5
5.094963e-5,4.2231215e-5
5.2526335e-5,4.4191893e-5
5.1513704e-5,4.2804535e-5
4.941032e-5,4.096222e-5
5.1383486e-5,4.2345426e-5
5.1050163e-5,4.2450305e-5
5.2882006e-5,4.4369666e-5
5.113262e-5,4.2311483e-5
5.1343228e-5,4.2993655e-5
5.404677e-5,4.529534e-5
5.120608e-5,4.29578e-5
5.1997096e-5,4.313073e-5
4.9928472e-5,4.112713e-5
5.32572e-5,4.462356e-5
5.146581e-5,4.2803837e-5
5.029643e-5,4.1623283e-5
5.3772772e-5,4.541202e-5
5.3501994e-5,4.4725348e-5
5.306399e-5,4.4028795e-5
5.0144736e-5,4.0972292e-5
5.3154232e-5,4.5202683e-5
5.18456e-5,4.3397868e-5
5.777896e-5,4.851227e-5
5.164571e-5,4.2822674e-5
5.3036372e-5,4.44011e-5
5.3680906e-5,4.4697397e-5
5.217246e-5,4.3677082e-5
4.9945378e-5,4.1383413e-5
5.1777304e-5,4.350021e-5
5.05624e-5,4.1585216e-5
5.5250075e-5,4.655162e-5
5.045037e-5,4.156995e-5
5.0755494e-5,4.1978514e-5
5.7806534e-5,4.9742936e-5
5.917375e-5,5.1061463e-5
5.1943167e-5,4.30675e-5
5.135211e-5,4.264051e-5
5.271903e-5,4.364988e-5
5.4011067e-5,4.4937675e-5
5.1300234e-5,4.2295356e-5
5.018838e-5,4.1745647e-5
5.1641895e-5,4.318946e-5
5.3313488e-5,4.475033e-5
5.2966698e-5,4.4301778e-5
5.0667964e-5,4.177219e-5
5.7508874e-5,4.980451e-5
5.1782026e-5,4.295323e-5
4.883843e-5,4.0275634e-5
4.879299e-5,4.013361e-5
4.88331e-5,4.0170286e-5
4.8966205e-5,4.0381485e-5
4.8790065e-5,4.0237694e-5
4.8799964e-5,4.0248215e-5
4.879916e-5,4.0244056e-5
4.889085e-5,4.0281313e-5
4.894782e-5,4.044556e-5
4.887578e-5,4.0337214e-5
4.892879e-5,4.026189e-5
4.8984606e-5,4.0428633e-5
4.8815098e-5,4.0238017e-5
4.8768863e-5,4.0157734e-5
