component1,component2,component3,sigma,lcm
-2.7942207,-0.75016445,-0.40165994,0.01,0.5
-2.796935,-0.7516043,-0.40191683,0.02,0.5
-2.8004215,-0.7537162,-0.40220454,0.03,0.5
-2.8052447,-0.7566724,-0.40259066,0.04,0.5
-2.8113446,-0.76047134,-0.40305945,0.05,0.5
-2.81865,-0.7651115,-0.40359065,0.06,0.5
-2.8270764,-0.7705906,-0.40415707,0.07,0.5
-2.8365283,-0.77690357,-0.40472957,0.08,0.5
-2.8468997,-0.7840456,-0.40527347,0.09,0.5
-2.8580828,-0.792008,-0.40574935,0.1,0.5
-2.869964,-0.8007812,-0.40611437,0.11,0.5
-2.8824294,-0.81035286,-0.40632382,0.12,0.5
-2.8953679,-0.8207071,-0.40632787,0.13,0.5
-2.9086735,-0.8318258,-0.40607604,0.14,0.5
-2.9222457,-0.8436888,-0.40551665,0.15,0.5
-2.9359906,-0.85627,-0.40459666,0.16,0.5
-2.949823,-0.86954373,-0.40326545,0.17,0.5
-2.9636662,-0.8834792,-0.40147302,0.18,0.5
-2.9774513,-0.8980438,-0.39917228,0.19,0.5
-2.9911182,-0.9132009,-0.39631793,0.2,0.5
-3.0046132,-0.9289126,-0.39287022,0.21,0.5
-3.0178907,-0.94513494,-0.38879463,0.22,0.5
-3.0309098,-0.96182483,-0.3840591,0.23,0.5
-3.0436363,-0.97893506,-0.37863907,0.24,0.5
-3.0560393,-0.9964146,-0.37251583,0.25,0.5
-3.0680935,-1.0142133,-0.36567554,0.26,0.5
-3.079775,-1.0322778,-0.3581104,0.27,0.5
-3.0910656,-1.0505533,-0.34981945,0.28,0.5
-3.1019483,-1.0689852,-0.34080568,0.29,0.5
-3.112408,-1.0875198,-0.3310785,0.3,0.5
-3.1218245,-1.1067239,-0.3200077,0.31,0.5
-3.1313217,-1.1262163,-0.30891165,0.32,0.5
-3.1408737,-1.1450644,-0.29788283,0.33,0.5
-3.1499279,-1.1638324,-0.28618857,0.34,0.5
-3.1584768,-1.1824758,-0.2738512,0.35,0.5
-3.1668618,-1.2003299,-0.26054248,0.36,0.5
-3.174907,-1.2176613,-0.24646495,0.37,0.5
-3.1824408,-1.2347388,-0.2318242,0.38,0.5
-3.1894639,-1.2515314,-0.21665196,0.39,0.5
-3.195975,-1.2680097,-0.20098244,0.4,0.5
-3.2019794,-1.284147,-0.18484841,0.41,0.5
-3.2074816,-1.2999222,-0.16828476,0.42,0.5
-3.2124746,-1.3153288,-0.15132134,0.43,0.5
-3.216585,-1.3308349,-0.13388447,0.44,0.5
-3.220208,-1.3459361,-0.11611662,0.45,0.5
-3.2233121,-1.3607085,-0.09788809,0.46,0.5
-3.2257323,-1.3754218,-0.078845836,0.47,0.5
-3.2271523,-1.3907946,-0.06086121,0.48,0.5
-3.2290173,-1.4075559,-0.04371653,0.49,0.5
-3.230081,-1.4222667,-0.028323153,0.5,0.5
-3.231829,-1.4380901,-0.01602296,0.51,0.5
-3.2333696,-1.4551307,-0.004309694,0.52,0.5
-3.233166,-1.4704249,0.0063938103,0.53,0.5
-3.2326186,-1.4853015,0.017343184,0.54,0.5
-3.2317421,-1.4997597,0.02851965,0.55,0.5
-3.23055,-1.5137982,0.03990795,0.56,0.5
-3.2290573,-1.5274184,0.051489968,0.57,0.5
-3.227277,-1.5406224,0.063251995,0.58,0.5
-3.2252243,-1.5534127,0.075177275,0.59,0.5
-3.2229114,-1.5657934,0.0872499,0.6,0.5
-3.220352,-1.5777692,0.09945645,0.61,0.5
-3.2175584,-1.5893452,0.11178347,0.62,0.5
-3.2145436,-1.6005276,0.124217175,0.63,0.5
-3.2113197,-1.6113225,0.13674428,0.64,0.5
-3.207898,-1.6217368,0.14935227,0.65,0.5
-3.2042913,-1.6317782,0.1620294,0.66,0.5
-3.200431,-1.6415854,0.17463942,0.67,0.5
-3.195925,-1.6516337,0.18643548,0.68,0.5
-3.1901956,-1.6622636,0.19619174,0.69,0.5
-3.184347,-1.6725286,0.2060218,0.7,0.5
-3.1776202,-1.6850126,0.21344079,0.71,0.5
-3.1707742,-1.6987476,0.21959718,0.72,0.5
-3.1639268,-1.7120676,0.22564812,0.73,0.5
-3.157119,-1.724844,0.2314653,0.74,0.5
-3.1502454,-1.7372288,0.23739286,0.75,0.5
-3.1433132,-1.7492299,0.24342377,0.76,0.5
-3.1363304,-1.7608571,0.24955125,0.77,0.5
-3.1291301,-1.7722974,0.25562182,0.78,0.5
-3.12177,-1.7835066,0.26167098,0.79,0.5
-3.1143868,-1.7943593,0.26780412,0.8,0.5
-3.1069853,-1.804863,0.2740155,0.81,0.5
-3.099571,-1.8150263,0.28029802,0.82,0.5
-3.0921485,-1.8248589,0.28664678,0.83,0.5
-3.0847235,-1.8343699,0.2930552,0.84,0.5
-3.0772982,-1.8435656,0.29951927,0.85,0.5
-3.0698779,-1.8524566,0.3060325,0.86,0.5
-3.0624669,-1.8610513,0.3125899,0.87,0.5
-3.0550668,-1.8693564,0.31918857,0.88,0.5
-3.0476828,-1.8773816,0.32582185,0.89,0.5
-3.0403163,-1.8851337,0.33248636,0.9,0.5
-3.0329716,-1.892621,0.33917806,0.91,0.5
-3.0256503,-1.8998508,0.34589285,0.92,0.5
-3.0183551,-1.9068307,0.3526269,0.93,0.5
-3.0110884,-1.9135679,0.3593768,0.94,0.5
-3.0038517,-1.9200699,0.3661386,0.95,0.5
-2.996648,-1.9263436,0.37290952,0.96,0.5
-2.9894783,-1.9323952,0.37968633,0.97,0.5
-2.9823444,-1.9382322,0.38646618,0.98,0.5
-2.9752476,-1.9438603,0.3932458,0.99,0.5
-2.9681904,-1.9492855,0.40002298,1.0,0.5
-4.471085,-1.3688885,-0.5992195,0.01,0.6
-4.4704175,-1.3705802,-0.5985374,0.02,0.6
-4.469309,-1.3734027,-0.5973876,0.03,0.6
-4.4677434,-1.3773347,-0.5957452,0.04,0.6
-4.465711,-1.3823588,-0.59358364,0.05,0.6
-4.463204,-1.3884507,-0.590866,0.06,0.6
-4.460214,-1.3955823,-0.58755314,0.07,0.6
-4.456739,-1.4037198,-0.5835968,0.08,0.6
-4.4527836,-1.4128264,-0.57894987,0.09,0.6
-4.4483557,-1.4228609,-0.5735641,0.1,0.6
-4.4434695,-1.4337786,-0.5673887,0.11,0.6
-4.4381437,-1.4455321,-0.56037796,0.12,0.6
-4.432404,-1.4580685,-0.552487,0.13,0.6
-4.4262743,-1.4713352,-0.54367906,0.14,0.6
-4.419782,-1.4852743,-0.533922,0.15,0.6
-4.4129553,-1.4998258,-0.5231876,0.16,0.6
-4.40582,-1.5149256,-0.511459,0.17,0.6
-4.3984,-1.530508,-0.49872687,0.18,0.6
-4.3907175,-1.5465027,-0.48498675,0.19,0.6
-4.3813853,-1.5642724,-0.46876755,0.2,0.6
-4.371342,-1.5827976,-0.45105407,0.21,0.6
-4.3631697,-1.599819,-0.43520948,0.22,0.6
-4.3553033,-1.6170474,-0.41895524,0.23,0.6
-4.347249,-1.6345928,-0.4019048,0.24,0.6
-4.339057,-1.651848,-0.3838087,0.25,0.6
-4.331108,-1.6680068,-0.3643318,0.26,0.6
-4.3228955,-1.6839626,-0.34400687,0.27,0.6
-4.314413,-1.6996552,-0.32288268,0.28,0.6
-4.3053503,-1.7148557,-0.30162153,0.29,0.6
-4.295846,-1.7295932,-0.27999339,0.3,0.6
-4.2860374,-1.7439018,-0.25777653,0.31,0.6
-4.2759285,-1.7577438,-0.23502223,0.32,0.6
-4.265519,-1.7710865,-0.2117853,0.33,0.6
-4.254816,-1.7839017,-0.18811773,0.34,0.6
-4.2437716,-1.7962345,-0.16405664,0.35,0.6
-4.231824,-1.8090363,-0.13995491,0.36,0.6
-4.218487,-1.8226768,-0.11842004,0.37,0.6
-4.2047815,-1.836813,-0.096687056,0.38,0.6
-4.191655,-1.8496363,-0.077517845,0.39,0.6
-4.1778297,-1.8620013,-0.05772279,0.4,0.6
-4.165625,-1.8765228,-0.041213017,0.41,0.6
-4.153,-1.8925996,-0.026330331,0.42,0.6
-4.139218,-1.9063475,-0.012652914,0.43,0.6
-4.1252956,-1.9195719,0.0013097128,0.44,0.6
-4.111245,-1.9322729,0.015531023,0.45,0.6
-4.097082,-1.9444507,0.029985448,0.46,0.6
-4.0828195,-1.9561088,0.044651825,0.47,0.6
-4.068471,-1.967253,0.05950441,0.48,0.6
-4.0540504,-1.9778876,0.07452192,0.49,0.6
