ID,Capas,activation,optimizer,rmae_global_train,mae_global_valid
1,[3 8 2],relu,ADAM,0.4329,0.4278
2,[3 16 2],relu,ADAM,0.4325,0.4270
3,[3 16 8 2],relu,ADAM,0.1435,0.1398
4,[3 16 16 2],relu,ADAM,0.4322,0.4266
5,[3 8 16 8 2],relu,ADAM,0.0713,0.0680
6,[3 16 32 16 2],relu,ADAM,0.0486,0.0467
7,[3 32 64 16 2],relu,ADAM,0.0422,0.0392
8,[3 16 32 16 8 2],relu,ADAM,0.0745,0.0695
9,[3 32 64 8 8 2],relu,ADAM,0.0507,0.0453
10,[3 32 64 32 16 2],relu,ADAM,0.0288,0.0247
11,[3 30 25 20 15 10 2],relu,ADAM,0.0450,0.0425
12,[3 16 8 2],tanh,ADAM,0.0773,0.0721
13,[3 16 32 16 2],tanh,ADAM,0.0228,0.0178
14,[3 32 64 16 2],tanh,ADAM,0.0259,0.0228
15,[3 32 64 8 8 2],tanh,ADAM,0.0270,0.02348
16,[3 32 64 32 16 2],tanh,ADAM,0.0178,0.0142
17,[3 30 25 20 15 10 2],σ,ADAM,0.0504,0.0451
18,[3 32 64 8 8 2],swish,ADAM,0.0431,0.0380
19,[3 32 64 32 16 2],swish,ADAM,0.0464,0.0450
20,[3 30 25 20 15 10 2],swish,ADAM,0.0379,0.0316
