MSEtrain,MSEvalid
1.286761,1.3381813
1.0499239,1.0379657
0.8810334,0.84402007
0.77097523,0.72077125
0.7374463,0.69405955
1.4212428,1.4292012
1.3561857,1.357877
1.3577188,1.3602833
1.361441,1.3611661
1.3559831,1.3575406
1.366258,1.3703322
1.3599075,1.3599455
1.3566141,1.358772
1.3580623,1.3607444
1.3602302,1.3602362
1.3585334,1.3588288
1.3710222,1.3756382
1.3628637,1.362329
1.3577745,1.3603007
1.3566281,1.3587651
1.3567114,1.3587687
1.3569299,1.3592385
1.3641287,1.3633975
1.3607887,1.360584
1.3590751,1.3620046
1.3573561,1.357983
1.3582699,1.3608295
1.3606186,1.3605331
1.3585238,1.361302
1.3573713,1.3579965
1.3572828,1.3583118
1.3565886,1.3579985
1.3566034,1.3575674
1.3567244,1.3576416
1.3645533,1.3638611
1.3569207,1.3578925
1.3569367,1.3592505
1.3645619,1.3637872
1.3566201,1.3575544
1.3583896,1.3611604
1.3595428,1.3595812
1.3584491,1.3610758
1.3627462,1.3663039
1.3607886,1.3605858
1.3631573,1.3626312
1.3564079,1.3584571
1.36119,1.3645289
1.3646128,1.368401
1.3595699,1.3625858
1.358861,1.3591268
1.3575442,1.3583276
1.3592507,1.3622253
1.3561467,1.3573622
1.3609892,1.3642305
1.3574562,1.3580661
1.3583978,1.3595068
1.35658,1.3587234
1.3568634,1.3579233
1.362222,1.3652383
1.3578604,1.35831
1.357898,1.3584228
1.3564206,1.3576276
1.3591886,1.3619688
1.3560654,1.3573899
1.3784264,1.3763118
1.369006,1.3733469
1.3601667,1.3629845
1.3620437,1.361636
1.3807318,1.3783259
1.356748,1.3588663
1.3575044,1.3580607
1.3566991,1.3575646
1.3583541,1.3588443
1.3562245,1.3574454
1.3656123,1.3646839
1.3563509,1.3576611
1.3569461,1.3590041
1.3605183,1.3634055
1.3624928,1.3660556
1.3566957,1.3586844
1.356426,1.3584601
1.3750575,1.3732243
1.3639243,1.3632207
1.357051,1.3577876
1.3643048,1.368131
1.3600125,1.363138
1.3568876,1.3586799
1.3595737,1.359665
1.3626294,1.3621167
1.4158543,1.4234655
1.3562518,1.3581895
1.3635244,1.3672452
1.3668869,1.3666269
1.3570775,1.3579142
1.359614,1.3626153
1.3561201,1.3573987
1.3566686,1.3575479
1.3649138,1.368763
1.3568004,1.3578662
1.3579769,1.360276
