ID,Arq,PuntosUsados,Lambd,NSeñales,RMSE Entren.,RMSE Val.,RMSE Test
1,[6  16  32  16  2],5,0.0,27550,0.2629,0.279,0.2616
2,[6  32  64  16  2],5,0.0,27550,0.3056,0.3214,0.3074
3,[6  16  32  16  8  2],5,0.0,27550,0.2715,0.2865,0.2695
4,[6  32  64  16  8  2],5,0.0,27550,0.2601,0.2744,0.2577
5,[6  30  25  20  15  10  2],5,0.0,27550,0.2971,0.3086,0.2967
6,[6  32  64  32  16  2],5,0.0,27550,0.2429,0.2578,0.2406
7,[6  16  32  16  2],5,0.0,55100,0.2584,0.2646,0.259
8,[6  32  64  16  2],5,0.0,55100,0.2816,0.286,0.2814
9,[6  16  32  16  8  2],5,0.0,55100,0.3053,0.3117,0.3043
10,[6  32  64  16  8  2],5,0.0,55100,0.3053,0.3121,0.3037
11,[6  30  25  20  15  10  2],5,0.0,55100,0.2364,0.2422,0.2371
12,[6  32  64  32  16  2],5,0.0,55100,0.3036,0.31,0.3024
13,[6  16  32  16  2],5,0.1,27550,0.9767,0.9821,0.9757
14,[6  32  64  16  2],5,0.1,27550,0.9767,0.9821,0.9757
15,[6  16  32  16  8  2],5,0.1,27550,0.9905,0.9954,0.99
16,[6  32  64  16  8  2],5,0.1,27550,0.9905,0.9954,0.99
17,[6  30  25  20  15  10  2],5,0.1,27550,1.008,1.013,1.008
18,[6  32  64  32  16  2],5,0.1,27550,0.9905,0.9954,0.99
19,[6  16  32  16  2],5,0.1,55100,0.9791,0.9749,0.9803
20,[6  32  64  16  2],5,0.1,55100,0.9791,0.9749,0.9803
21,[6  16  32  16  8  2],5,0.1,55100,0.9929,0.9889,0.994
22,[6  32  64  16  8  2],5,0.1,55100,0.9929,0.9889,0.994
23,[6  30  25  20  15  10  2],5,0.1,55100,1.01,1.007,1.011
24,[6  32  64  32  16  2],5,0.1,55100,0.9929,0.9889,0.994
25,[11  16  32  16  2],10,0.0,27550,0.07111,0.07302,0.07053
26,[11  32  64  16  2],10,0.0,27550,0.05445,0.05704,0.05508
27,[11  16  32  16  8  2],10,0.0,27550,0.07088,0.07451,0.07099
28,[11  32  64  16  8  2],10,0.0,27550,0.06051,0.06275,0.05924
29,[11  30  25  20  15  10  2],10,0.0,27550,0.05582,0.05857,0.05561
30,[11  32  64  32  16  2],10,0.0,27550,0.05653,0.06098,0.05658
31,[11  16  32  16  2],10,0.0,55100,0.05982,0.0606,0.05997
32,[11  32  64  16  2],10,0.0,55100,0.05493,0.05553,0.05465
33,[11  16  32  16  8  2],10,0.0,55100,0.04464,0.04576,0.04549
34,[11  32  64  16  8  2],10,0.0,55100,0.07611,0.0758,0.07662
35,[11  30  25  20  15  10  2],10,0.0,55100,0.06049,0.06177,0.06051
36,[11  32  64  32  16  2],10,0.0,55100,0.07071,0.07166,0.07137
37,[11  16  32  16  2],10,0.1,27550,0.8934,0.898,0.8934
38,[11  32  64  16  2],10,0.1,27550,0.8934,0.898,0.8934
39,[11  16  32  16  8  2],10,0.1,27550,0.9086,0.9129,0.9088
40,[11  32  64  16  8  2],10,0.1,27550,0.9086,0.9129,0.9088
41,[11  30  25  20  15  10  2],10,0.1,27550,0.9279,0.9319,0.9282
42,[11  32  64  32  16  2],10,0.1,27550,0.9086,0.9129,0.9088
43,[11  16  32  16  2],10,0.1,55100,0.8949,0.893,0.8965
44,[11  32  64  16  2],10,0.1,55100,0.8949,0.893,0.8965
45,[11  16  32  16  8  2],10,0.1,55100,0.91,0.9084,0.9115
46,[11  32  64  16  8  2],10,0.1,55100,0.91,0.9084,0.9115
47,[11  30  25  20  15  10  2],10,0.1,55100,0.9291,0.9277,0.9306
48,[11  32  64  32  16  2],10,0.1,55100,0.91,0.9084,0.9115
49,[20  16  32  16  2],20,0.0,27550,0.01177,0.01212,0.01189
50,[20  32  64  16  2],20,0.0,27550,0.01747,0.0176,0.01756
51,[20  16  32  16  8  2],20,0.0,27550,0.01494,0.01526,0.01532
52,[20  32  64  16  8  2],20,0.0,27550,0.01409,0.01454,0.01427
53,[20  30  25  20  15  10  2],20,0.0,27550,0.01454,0.01498,0.01468
54,[20  32  64  32  16  2],20,0.0,27550,0.01373,0.01391,0.01382
55,[20  16  32  16  2],20,0.0,55100,0.01763,0.0178,0.01785
56,[20  32  64  16  2],20,0.0,55100,0.01475,0.01484,0.01504
57,[20  16  32  16  8  2],20,0.0,55100,0.01151,0.01176,0.01174
58,[20  32  64  16  8  2],20,0.0,55100,0.01057,0.01065,0.0107
59,[20  30  25  20  15  10  2],20,0.0,55100,0.01041,0.0107,0.01062
60,[20  32  64  32  16  2],20,0.0,55100,0.008697,0.008887,0.008794
61,[20  16  32  16  2],20,0.1,27550,0.8658,0.8701,0.8659
62,[20  32  64  16  2],20,0.1,27550,0.8658,0.8701,0.8659
63,[20  16  32  16  8  2],20,0.1,27550,0.8797,0.8836,0.88
64,[20  32  64  16  8  2],20,0.1,27550,0.8797,0.8836,0.88
65,[20  30  25  20  15  10  2],20,0.1,27550,0.8981,0.9016,0.8983
66,[20  32  64  32  16  2],20,0.1,27550,0.8797,0.8836,0.88
67,[20  16  32  16  2],20,0.1,55100,0.8671,0.8657,0.8684
68,[20  32  64  16  2],20,0.1,55100,0.8671,0.8657,0.8684
69,[20  16  32  16  8  2],20,0.1,55100,0.8807,0.8797,0.8819
70,[20  32  64  16  8  2],20,0.1,55100,0.8807,0.8797,0.8819
71,[20  30  25  20  15  10  2],20,0.1,55100,0.8988,0.8979,0.8999
72,[20  32  64  32  16  2],20,0.1,55100,0.8807,0.8797,0.8819
